City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,80.89,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1,Rikitea,PF,77.47,overcast clouds,-23.1203,-134.9692,Pension Maro'i
5,Sao Joao Da Barra,BR,80.6,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
11,Mahebourg,MU,80.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Sinnamary,GF,80.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
17,Hermanus,ZA,73.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Saint-Philippe,RE,82.4,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Bambous Virieux,MU,80.6,few clouds,-20.3428,57.7575,Casa Tia Villa
23,Jawhar,SO,76.41,clear sky,2.7809,45.5005,cosoble spare parts
25,Urrao,CO,73.4,broken clouds,6.3152,-76.1342,Finca Hotel Riomanso
26,Arraial Do Cabo,BR,75.2,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
27,Champerico,GT,80.6,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
28,Port Alfred,ZA,77.0,few clouds,-33.5906,26.891,The Halyards Hotel
29,Biu,NG,89.11,broken clouds,10.6129,12.1946,Emir's Palace
31,Mar Del Plata,AR,73.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
34,Kanigoro,ID,75.0,light rain,-8.13,112.219,Musafer Villa ( Villa Erlin )
36,Key West,US,75.2,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
39,Charlestown,AU,72.0,few clouds,-32.95,151.6667,Panorama Motor Inn Hotel
45,Tomatlan,MX,80.04,overcast clouds,19.9333,-105.25,Norma franco
47,Cape Town,ZA,78.01,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
50,Ban Chang,TH,75.2,mist,12.7254,101.0553,Grand Garden Hotel
54,Najran,SA,78.8,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
56,Ambon,ID,78.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
64,Avarua,CK,75.2,light rain,-21.2078,-159.775,Paradise Inn
67,Biltine,TD,83.26,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
70,Yulara,AU,80.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
71,Chuy,UY,79.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
75,Balabac,PH,80.33,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
78,Cabedelo,BR,89.6,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
81,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.0833,Scoop Guest House
82,Bandarbeyla,SO,76.8,few clouds,9.4942,50.8122,JABIR HOTEL
83,Pontes E Lacerda,BR,89.74,scattered clouds,-15.2261,-59.3353,Hotel Bressan
86,Luxor,EG,75.2,clear sky,25.6989,32.6421,Iberotel Luxor
87,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
89,Olinda,BR,84.2,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
93,Bengkulu,ID,76.86,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
98,Mbandaka,CD,85.28,overcast clouds,0.0487,18.2603,Guest House Epervier
99,Puerto Ayacucho,VE,93.24,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
101,Port Elizabeth,ZA,82.4,few clouds,-33.918,25.5701,39 On Nile Guest House
103,Bibiani,GH,89.22,broken clouds,6.4635,-2.3194,Rodick Hotel
106,Srandakan,ID,77.88,overcast clouds,-7.9386,110.2506,Puri Brata
107,Zemio,CF,87.87,overcast clouds,5.0314,25.1361,OCHA Office
108,Maldonado,UY,79.0,clear sky,-34.6667,-54.9167,La Cimarrona
109,Veraval,IN,72.12,clear sky,20.9,70.3667,Lords Inn Somnath
110,Aswan,EG,70.03,clear sky,24.0934,32.907,Nuba Nile
111,Arlit,NE,86.13,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
116,Labuhan,ID,78.87,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
117,Bredasdorp,ZA,78.8,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
119,Faanui,PF,81.37,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,Nyaunglebin,MM,73.09,clear sky,17.95,96.7333,Royal Motel
123,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
132,Castro,BR,76.21,clear sky,-24.7911,-50.0119,CHACARA BAILLY
137,Chinhoyi,ZW,73.96,light rain,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
138,Pisco,PE,73.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
141,Bilma,NE,81.05,few clouds,18.6853,12.9164,Expeditions Ténére voyages
143,Miri,MY,78.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
146,Tandil,AR,90.0,clear sky,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
148,East London,ZA,77.0,broken clouds,-33.0153,27.9116,Tu Casa
152,Narrabri,AU,71.6,broken clouds,-30.3167,149.7833,Crossroads Hotel
153,Charters Towers,AU,75.4,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
