City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kembe,CF,2021-02-05 17:36:37,4.6228,21.8865,81.72,32,21,0.94
1,Hilo,US,2021-02-05 17:36:37,19.7297,-155.09,63.0,67,75,8.05
2,Geraldton,AU,2021-02-05 17:32:59,-28.7667,114.6,64.4,82,90,16.11
3,Punta Arenas,CL,2021-02-05 17:36:37,-53.15,-70.9167,57.2,47,0,26.46
4,Bredasdorp,ZA,2021-02-05 17:36:38,-34.5322,20.0403,71.6,73,1,10.36
5,Pecos,US,2021-02-05 17:32:53,31.4229,-103.4932,50.0,46,1,4.27
6,Namtsy,RU,2021-02-05 17:36:38,62.7161,129.6658,-41.8,60,87,4.47
7,Qaanaaq,GL,2021-02-05 17:36:38,77.484,-69.3632,-10.82,73,46,6.67
8,Ostrovnoy,RU,2021-02-05 17:36:38,68.0531,39.5131,12.2,92,100,13.38
9,Rikitea,PF,2021-02-05 17:36:38,-23.1203,-134.9692,78.67,69,27,10.65
10,Novikovo,RU,2021-02-05 17:36:39,51.1537,37.8879,14.07,93,52,14.03
11,Karratha,AU,2021-02-05 17:33:18,-20.7377,116.8463,79.99,79,12,8.57
12,Montego Bay,JM,2021-02-05 17:33:34,18.4712,-77.9188,84.2,74,20,13.8
13,Lebu,CL,2021-02-05 17:36:39,-37.6167,-73.65,66.09,68,37,13.94
14,Tura,IN,2021-02-05 17:36:39,25.5198,90.2201,63.09,45,0,3.67
15,Lavrentiya,RU,2021-02-05 17:32:45,65.5833,-171.0,2.59,92,100,16.42
16,Zheleznodorozhnyy,RU,2021-02-05 17:36:39,55.7503,38.0042,14.0,73,75,17.9
17,Butaritari,KI,2021-02-05 17:36:39,3.0707,172.7902,80.82,83,100,13.78
18,Ushuaia,AR,2021-02-05 17:35:17,-54.8,-68.3,48.2,66,75,32.21
19,Castro,BR,2021-02-05 17:36:40,-24.7911,-50.0119,75.51,52,0,6.78
